,country,1950,2020,sr_mean,gdp_mean,gdp_growth_mean,dem_index_mean,mil_exp_mean,cars_mean,alc_cons_mean
0,Afghanistan,112.0,106.0,109.0,510.9375,3.5687187499999995,27.23076923076923,1.71975,22.8,0.025
1,Albania,105.0,102.0,103.5,2768.9473684210525,4.2121875,58.52307692307692,2.9481578947368416,88.96000000000001,6.984999999999999
2,Algeria,103.0,102.0,102.5,3473.9655172413795,4.102203125,35.43076923076923,2.9490909090909088,89.33333333333333,0.825
3,Angola,94.2,96.4,95.30000000000001,2428.4210526315787,4.24978125,32.815384615384616,6.603334545454544,39.6,5.485
4,Argentina,106.0,95.9,100.95,7763.275862068966,3.059246875,68.2923076923077,1.712810344827586,314.0,9.675
5,Armenia,90.3,88.9,89.6,2376.8214285714284,3.9942031250000003,41.26923076923077,3.4476,105.0,12.55
6,Australia,102.0,99.3,100.65,36322.41379310345,3.81315625,91.09230769230771,2.258275862068966,655.25,10.1
7,Austria,86.6,96.6,91.6,32444.827586206895,3.4899125,85.03076923076924,1.1799310344827587,578.2,12.733333333333334
8,Azerbaijan,88.2,99.4,93.80000000000001,3505.714285714286,4.893296875,29.93846153846154,3.196153846153846,61.5,11.95
9,Bahrain,116.0,180.0,148.0,20710.526315789473,5.9231859374999996,30.36923076923077,4.576279069767442,415.6666666666667,3.9250000000000003
10,Bangladesh,109.0,101.0,105.0,497.62068965517244,3.867125,57.56153846153845,1.2314000000000003,2.155,0.17
11,Belarus,79.2,87.0,83.1,4195.357142857143,3.383015625,33.11538461538461,1.5596153846153848,282.0,17.0
12,Belgium,97.2,98.3,97.75,31413.793103448275,2.6518234375,79.96153846153847,2.219896551724138,530.6,10.600000000000001
13,Benin,87.2,99.8,93.5,645.1379310344828,2.8959046875,59.17692307692308,1.4764130434782607,20.6,2.115
14,Bolivia,97.3,100.0,98.65,1635.344827586207,3.1283421875,58.44615384615384,2.0226415094339623,54.13333333333333,5.45
15,Bosnia and Herzegovina,93.3,96.6,94.94999999999999,3715.6666666666665,4.2117421875000005,52.11538461538461,1.4577499999999999,170.0,9.615
16,Botswana,93.8,97.9,95.85,3427.344827586207,7.55765625,77.28461538461539,3.223414634146341,102.6,7.465
17,Brazil,98.4,96.5,97.45,7810.862068965517,5.01395,71.4923076923077,1.854310344827586,177.33333333333334,11.086666666666666
18,Bulgaria,99.9,94.6,97.25,4992.631578947368,3.0180764062499996,69.39999999999999,2.3434482758620687,329.5,11.9
